
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:54829        127.0.0.1:54833        ESTABLISHED     11648
  TCP    127.0.0.1:54831        0.0.0.0:0              LISTENING       10660
  TCP    127.0.0.1:54833        127.0.0.1:54829        ESTABLISHED     10660
  TCP    127.0.0.1:57344        127.0.0.1:60626        ESTABLISHED     29128
  TCP    127.0.0.1:57412        127.0.0.1:57413        ESTABLISHED     18100
  TCP    127.0.0.1:57413        127.0.0.1:57412        ESTABLISHED     18100
  TCP    127.0.0.1:60214        127.0.0.1:60215        ESTABLISHED     25440
  TCP    127.0.0.1:60215        127.0.0.1:60214        ESTABLISHED     25440
  TCP    127.0.0.1:60626        0.0.0.0:0              LISTENING       12856
  TCP    127.0.0.1:60626        127.0.0.1:53396        TIME_WAIT       0
  TCP    127.0.0.1:60626        127.0.0.1:54271        ESTABLISHED     12856
  TCP    127.0.0.1:60626        127.0.0.1:54687        ESTABLISHED     12856
  TCP    127.0.0.1:60626        127.0.0.1:54689        ESTABLISHED     12856
  TCP    127.0.0.1:60626        127.0.0.1:57344        ESTABLISHED     12856
  TCP    127.0.0.1:60626        127.0.0.1:60637        ESTABLISHED     12856
  TCP    127.0.0.1:60626        127.0.0.1:60638        ESTABLISHED     12856
  TCP    127.0.0.1:60626        127.0.0.1:61703        TIME_WAIT       0
  TCP    127.0.0.1:60626        127.0.0.1:62299        ESTABLISHED     12856
  TCP    127.0.0.1:60626        127.0.0.1:63524        ESTABLISHED     12856
  TCP    127.0.0.1:60626        127.0.0.1:64390        ESTABLISHED     12856
  TCP    127.0.0.1:60628        0.0.0.0:0              LISTENING       29128
  TCP    127.0.0.1:60628        127.0.0.1:63512        ESTABLISHED     29128
  TCP    127.0.0.1:60628        127.0.0.1:63523        ESTABLISHED     29128
  TCP    127.0.0.1:60629        0.0.0.0:0              LISTENING       29128
  TCP    127.0.0.1:60629        127.0.0.1:54212        TIME_WAIT       0
  TCP    127.0.0.1:60629        127.0.0.1:54217        TIME_WAIT       0
  TCP    127.0.0.1:60629        127.0.0.1:56967        TIME_WAIT       0
  TCP    127.0.0.1:60629        127.0.0.1:56971        TIME_WAIT       0
  TCP    127.0.0.1:60636        0.0.0.0:0              LISTENING       29128
  TCP    127.0.0.1:60636        127.0.0.1:60639        ESTABLISHED     29128
  TCP    127.0.0.1:60637        127.0.0.1:60626        ESTABLISHED     29128
  TCP    127.0.0.1:60638        127.0.0.1:60626        ESTABLISHED     29128
  TCP    127.0.0.1:60639        127.0.0.1:60636        ESTABLISHED     12856
  TCP    127.0.0.1:61845        127.0.0.1:61846        ESTABLISHED     10500
  TCP    127.0.0.1:61846        127.0.0.1:61845        ESTABLISHED     10500
  TCP    127.0.0.1:62299        127.0.0.1:60626        ESTABLISHED     29128
  TCP    127.0.0.1:63244        0.0.0.0:0              LISTENING       26996
  TCP    127.0.0.1:63512        127.0.0.1:60628        ESTABLISHED     14724
  TCP    127.0.0.1:63523        127.0.0.1:60628        ESTABLISHED     12856
  TCP    127.0.0.1:63524        127.0.0.1:60626        ESTABLISHED     29128
  TCP    127.0.0.1:63533        127.0.0.1:63534        ESTABLISHED     5436
  TCP    127.0.0.1:63534        127.0.0.1:63533        ESTABLISHED     5436
  TCP    127.0.0.1:64390        127.0.0.1:60626        ESTABLISHED     29128
  TCP    127.0.0.1:64996        0.0.0.0:0              LISTENING       10660
  TCP    172.27.80.1:139        0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       2168
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:5432              [::]:0                 LISTENING       4176
